,location,year,racial_group,employer_preference,academia_vs_alumni,event_type_preferences,event_style_preferences,panel_type,workshop_type,special_groups,subject_preferences
81,Off campus (D.C.),Junior,Caucasian,Internships,Connect with alumni,In-person,Panel,Network,,"['LGBTQ+', 'Race', 'FLI', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'International student']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Consulting', 'Medical School', 'Finance', 'Pre-Health']"
82,Off campus (D.C.),First,Latine,Internships,Connect with alumni,In-person,Panel,Q&A,,"['Neurodivergency', 'Race', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+']","['Consulting', 'Medical School', 'Finance', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech']"
83,Off campus (D.C.),Graduate,Latine,Internships,Higher academia pathways,In-person,Panel,Network,,"['None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'Race', 'International student', 'FLI', 'LGBTQ+']","['Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Consulting', 'Pre-Health']"
84,Off campus (D.C.),Senior,Black,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['LGBTQ+', 'Race', 'FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student']","['Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Bio-tech', 'Medical School']"
85,Off campus (D.C.),Junior,Latine,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['LGBTQ+', 'Neurodivergency', 'International student', 'None (Please rank first if no subjects are of interest)', 'FLI', 'Race']","['Bio-tech', 'Medical School', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting']"
86,On campus,Junior,Caucasian,Internships,Connect with alumni,In-person,Workshop,,Interview,"['None (Please rank first if no subjects are of interest)', 'FLI', 'LGBTQ+', 'Neurodivergency', 'International student', 'Race']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Medical School', 'Bio-tech', 'Consulting', 'Pre-Health']"
87,Off campus (D.C.),Senior,Caucasian,Internships,Higher academia pathways,In-person,Panel,Q&A,,"['FLI', 'Neurodivergency', 'International student', 'LGBTQ+', 'Race', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Consulting', 'Bio-tech', 'Finance']"
88,Off campus (D.C.),Junior,Caucasian,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['LGBTQ+', 'Neurodivergency', 'FLI', 'Race', 'International student', 'None (Please rank first if no subjects are of interest)']","['Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Pre-Health', 'Consulting', 'Finance']"
89,On campus,First,Black,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['Neurodivergency', 'International student', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race', 'FLI']","['Pre-Health', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Finance']"
90,Off campus (D.C.),Graduate,Latine,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['Race', 'LGBTQ+', 'International student', 'Neurodivergency', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Medical School', 'Finance', 'Consulting', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
91,Off campus (D.C.),Graduate,Asian,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'FLI', 'International student', 'LGBTQ+', 'Race']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting', 'Medical School', 'Bio-tech', 'Pre-Health']"
92,On campus,Graduate,Asian,Corporate based events,Higher academia pathways,In-person,Workshop,,Interview,"['Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'Race', 'LGBTQ+', 'FLI', 'International student']","['Finance', 'Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Medical School']"
93,Off campus (D.C.),First,Black,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['Race', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'FLI', 'LGBTQ+']","['Bio-tech', 'Pre-Health', 'Finance', 'Medical School', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
94,Off campus (D.C.),Graduate,Black,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['FLI', 'LGBTQ+', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Medical School', 'Consulting']"
95,On campus,Graduate,Black,Internships,Higher academia pathways,Virtual,Workshop,,Interview,"['International student', 'Neurodivergency', 'FLI', 'None (Please rank first if no subjects are of interest)', 'Race', 'LGBTQ+']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Bio-tech', 'Consulting', 'Finance', 'Medical School']"
96,On campus,Graduate,Asian,Internships,Higher academia pathways,Virtual,Panel,Network,,"['LGBTQ+', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'International student', 'FLI']","['Medical School', 'Finance', 'Bio-tech', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health']"
97,On campus,Junior,Asian,Corporate based events,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'Race', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'FLI', 'LGBTQ+']","['Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance', 'Bio-tech', 'Medical School']"
98,Off campus (D.C.),First,Caucasian,Internships,Connect with alumni,In-person,Workshop,,Resume,"['International student', 'None (Please rank first if no subjects are of interest)', 'FLI', 'Neurodivergency', 'Race', 'LGBTQ+']","['Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Bio-tech', 'Medical School']"
99,On campus,First,Caucasian,Corporate based events,Connect with alumni,Virtual,Workshop,,Interview,"['None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'FLI', 'Race', 'International student', 'Neurodivergency']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Pre-Health', 'Finance', 'Consulting', 'Bio-tech']"
