location,year,racial_group,employer_preference,academia_vs_alumni,event_type_preferences,event_style_preferences,panel_type,workshop_type,special_groups,subject_preferences,top_five_recommendations
On campus,First,Latine,Corporate based events,Higher academia pathways,In-person,Workshop,,Resume,"['International student', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'Race', 'FLI', 'LGBTQ+']","['Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting', 'Medical School', 'Pre-Health']","[1, 24, 11, 25, 14]"
Off campus (D.C.),Sophomore,Black,Corporate based events,Higher academia pathways,Virtual,Workshop,,Resume,"['None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency', 'FLI', 'LGBTQ+', 'Race']","['Medical School', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting', 'Pre-Health']","[23, 11, 13, 24, 25]"
On campus,First,Asian,Internships,Connect with alumni,Virtual,Workshop,,Interview,"['Race', 'Neurodivergency', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+']","['Medical School', 'Bio-tech', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance']","[14, 17, 24, 13, 23]"
Off campus (D.C.),Graduate,Latine,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['None (Please rank first if no subjects are of interest)', 'FLI', 'LGBTQ+', 'International student', 'Neurodivergency', 'Race']","['Finance', 'Consulting', 'Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School']","[24, 8, 16, 25, 15]"
On campus,Sophomore,Asian,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['None (Please rank first if no subjects are of interest)', 'Race', 'LGBTQ+', 'International student', 'Neurodivergency', 'FLI']","['Consulting', 'Medical School', 'Bio-tech', 'Finance', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[25, 23, 28, 14, 16]"
On campus,Senior,Caucasian,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['LGBTQ+', 'International student', 'FLI', 'Neurodivergency', 'Race', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Medical School', 'Finance', 'Consulting']","[17, 23, 24, 13, 11]"
On campus,Junior,Caucasian,Internships,Connect with alumni,In-person,Panel,Network,,"['FLI', 'International student', 'Neurodivergency', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race']","['Bio-tech', 'Finance', 'Medical School', 'Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[17, 26, 16, 1, 25]"
On campus,First,Latine,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['Race', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'Neurodivergency', 'FLI', 'International student']","['Pre-Health', 'Medical School', 'Finance', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[23, 28, 18, 21, 13]"
Off campus (D.C.),Senior,Black,Internships,Higher academia pathways,Virtual,Workshop,,Interview,"['LGBTQ+', 'International student', 'Neurodivergency', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Finance', 'Pre-Health', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting']","[17, 11, 24, 14, 1]"
On campus,Graduate,Asian,Internships,Connect with alumni,In-person,Workshop,,Resume,"['Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI', 'International student']","['Finance', 'Medical School', 'Bio-tech', 'Consulting', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[17, 26, 24, 1, 25]"
Off campus (D.C.),Sophomore,Asian,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI', 'Race', 'LGBTQ+', 'International student']","['Medical School', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Bio-tech', 'Consulting']","[25, 23, 28, 8, 16]"
On campus,Senior,Asian,Corporate based events,Higher academia pathways,In-person,Panel,Q&A,,"['None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'International student', 'FLI', 'LGBTQ+', 'Race']","['Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance', 'Pre-Health', 'Medical School']","[25, 26, 16, 1, 24]"
On campus,Senior,Caucasian,Corporate based events,Connect with alumni,Virtual,Panel,Network,,"['Neurodivergency', 'International student', 'None (Please rank first if no subjects are of interest)', 'Race', 'FLI', 'LGBTQ+']","['Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting', 'Medical School']","[25, 26, 3, 13, 1]"
On campus,Sophomore,Latine,Internships,Higher academia pathways,Virtual,Panel,Network,,"['Race', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'FLI', 'International student']","['Consulting', 'Medical School', 'Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech']","[17, 25, 14, 13, 18]"
Off campus (D.C.),Sophomore,Asian,Corporate based events,Higher academia pathways,In-person,Workshop,,Resume,"['Race', 'Neurodivergency', 'International student', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Pre-Health', 'Finance', 'Consulting', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[21, 27, 28, 23, 14]"
Off campus (D.C.),Junior,Latine,Corporate based events,Connect with alumni,In-person,Workshop,,Resume,"['None (Please rank first if no subjects are of interest)', 'International student', 'LGBTQ+', 'Neurodivergency', 'FLI', 'Race']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Bio-tech', 'Medical School', 'Consulting', 'Finance']","[24, 20, 16, 13, 24]"
Off campus (D.C.),Senior,Latine,Corporate based events,Connect with alumni,In-person,Panel,Q&A,,"['FLI', 'None (Please rank first if no subjects are of interest)', 'Race', 'LGBTQ+', 'International student', 'Neurodivergency']","['Medical School', 'Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting']","[27, 19, 8, 16, 11]"
Off campus (D.C.),Sophomore,Black,Corporate based events,Higher academia pathways,In-person,Panel,Network,,"['FLI', 'None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'Neurodivergency', 'International student', 'Race']","['Pre-Health', 'Bio-tech', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Finance']","[27, 28, 5, 21, 8]"
Off campus (D.C.),Graduate,Asian,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['Neurodivergency', 'Race', 'International student', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Medical School', 'Finance', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[28, 9, 3, 14, 15]"
On campus,Senior,Latine,Corporate based events,Connect with alumni,In-person,Workshop,,Interview,"['FLI', 'Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency']","['Consulting', 'Finance', 'Pre-Health', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School']","[17, 19, 12, 4, 22]"
Off campus (D.C.),Sophomore,Black,Internships,Connect with alumni,In-person,Workshop,,Resume,"['FLI', 'Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency']","['Pre-Health', 'Medical School', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Consulting']","[21, 27, 28, 5, 23]"
Off campus (D.C.),First,Caucasian,Corporate based events,Higher academia pathways,In-person,Panel,Network,,"['Neurodivergency', 'Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'FLI', 'International student']","['Pre-Health', 'Consulting', 'Medical School', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[21, 28, 3, 16, 10]"
Off campus (D.C.),First,Latine,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['Neurodivergency', 'LGBTQ+', 'Race', 'FLI', 'None (Please rank first if no subjects are of interest)', 'International student']","['Bio-tech', 'Pre-Health', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Finance']","[21, 3, 1, 24, 17]"
Off campus (D.C.),First,Black,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race', 'FLI', 'International student', 'Neurodivergency']","['Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Bio-tech', 'Consulting']","[23, 13, 6, 22, 21]"
On campus,Senior,Black,Corporate based events,Higher academia pathways,In-person,Workshop,,Resume,"['Race', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'LGBTQ+']","['Medical School', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Bio-tech', 'Pre-Health']","[27, 28, 5, 24, 11]"
